"scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","district","count","checklist"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
"Melanerpes uropygialis","gila woodpecker","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Pipilo chlorurus","green-tailed towhee","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",1,"S322118513"
"Leiothlypis luciae","lucy's warbler","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",4,"S322118513"
"Peucaea carpalis","rufous-winged sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Megascops kennicottii","western screech-owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",1,"S321852330"
"Lithobates catesbeianus","american bullfrog","Amphibia","2026-04-14","E Speedway Blvd, Tucson, AZ, US",32.24517,-110.6866283333,1,"janeyd",770371,"false","https://www.inaturalist.org/observations/350389767","https://static.inaturalist.org/photos/639304071/medium.jpg","","RMD",NA,NA
"Spizella breweri","brewer's sparrow","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",2,"S322118513"
"Micrathene whitneyi","elf owl","Aves","2026-04-14","Saguaro NP--East--Mica View",32.2111462,-110.7246381,NA,NA,NA,NA,"https://ebird.org/checklist/S321852330",NA,NA,"RMD",2,"S321852330"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Wildhorse Trail, Tucson US-AZ 32.22309, -110.68703",32.223093,-110.687034,NA,NA,NA,NA,"https://ebird.org/checklist/S321856903",NA,NA,"RMD",2,"S321856903"
"Callipepla gambelii","gambel's quail","Aves","2026-04-14","Cactus Forest Dr, Tucson US-AZ 32.18128, -110.73416",32.181276,-110.734159,NA,NA,NA,NA,"https://ebird.org/checklist/S322118513",NA,NA,"RMD",7,"S322118513"
