"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","preserve","polygonloc","count","checklist"
"Agrilus planipennis","emerald ash borer","Insecta","Insects",2026-04-18,"Mariner Ln, Falmouth, ME, US",43.73415,-70.2050083333,8,"geonatura",1096812,"false","https://www.inaturalist.org/observations/350814008","https://inaturalist-open-data.s3.amazonaws.com/photos/640134725/medium.jpg","CC-BY","Clapboard Island Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-17,"Tenants Harbor, ME, US",43.9601942888,-69.2100488517,77,"feralpoet",5825469,"false","https://www.inaturalist.org/observations/350593307","https://inaturalist-open-data.s3.amazonaws.com/photos/639701618/medium.jpg","CC-BY-NC","Clark Island Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-17,"Tenants Harbor, ME, US",43.9601942888,-69.2100488517,77,"feralpoet",5825469,"false","https://www.inaturalist.org/observations/350593307","https://inaturalist-open-data.s3.amazonaws.com/photos/639701618/medium.jpg","CC-BY-NC","High Island","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Kittredge Brook Forest Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Babson Creek Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Kittredge Brook Forest Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Babson Creek Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Babson Creek Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Kittredge Brook Forest Preserve","buffer",NA,NA
"Tussilago farfara","colt's-foot","Plantae","Plants",2026-04-15,"Bar Harbor, ME, USA",44.4031337466,-68.3131120418,61,"carol-in-maine",14060,"false","https://www.inaturalist.org/observations/350195770","https://inaturalist-open-data.s3.amazonaws.com/photos/638928438/medium.jpg","CC-BY-NC","Blue Horizons Preserve","buffer",NA,NA
