"scientific.name","common.name","observed.on","location","latitude","longitude","url","preserve","polygonloc"
"Anas rubripes","american black duck",2026-04-20,"Pray’s Brook Marsh (MCHT)",44.3801976,-68.3558974,"https://ebird.org/checklist/S324815597","Prays Brook Marsh Preserve","preserve"
"Anas rubripes","american black duck",2026-04-19,"Clark Island",43.9868246,-69.1827106,"https://ebird.org/checklist/S324202385","Clark Island Preserve","preserve"
"Anas rubripes","american black duck",2026-04-18,"Harriman Point Preserve (MCHT)",44.2953397,-68.5351896,"https://ebird.org/checklist/S323759592","Harriman Point Preserve","preserve"
"Anas rubripes","american black duck",2026-04-18,"Babson Creek Preserve (MCHT), Mount Desert",44.3730116,-68.3310342,"https://ebird.org/checklist/S323679530","Babson Creek Preserve","preserve"
"Anas rubripes","american black duck",2026-04-18,"Cable Crossing Road, Southwest Harbor",44.2564713,-68.2944961,"https://ebird.org/checklist/S323651519","Manset Fields","preserve"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-18,"Seawall Rd, Southwest Harbor, ME, US",44.23912,-68.30213,"https://www.inaturalist.org/observations/351016096","Trap Mill Woods Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-18,"Seawall Rd, Southwest Harbor, ME, US",44.23912,-68.30213,"https://www.inaturalist.org/observations/351016096","Preble Cove","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-18,"Seawall Rd, Southwest Harbor, ME, US",44.23912,-68.30213,"https://www.inaturalist.org/observations/351016096","Manset Fields","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.227114437,-68.3208919897,"https://www.inaturalist.org/observations/350475629","Bass Harbor Marsh","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.227114437,-68.3208919897,"https://www.inaturalist.org/observations/350475629","Trap Mill Woods Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.227114437,-68.3208919897,"https://www.inaturalist.org/observations/350475629","Great Gott Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.227114437,-68.3208919897,"https://www.inaturalist.org/observations/350475629","Great Gott Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.2270827259,-68.3209561006,"https://www.inaturalist.org/observations/350475615","Bass Harbor Marsh","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.2270827259,-68.3209561006,"https://www.inaturalist.org/observations/350475615","Trap Mill Woods Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.2270827259,-68.3209561006,"https://www.inaturalist.org/observations/350475615","Great Gott Preserve","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-16,"Ship Harbor Trail, Southwest Harbor, ME, US",44.2270827259,-68.3209561006,"https://www.inaturalist.org/observations/350475615","Great Gott Preserve","buffer"
"Epigaea repens","trailing arbutus",2026-04-16,"Hadlock Brook Trail, Mount Desert, ME, US",44.32688,-68.2856,"https://www.inaturalist.org/observations/350361702","Norumbega Mountain Preserve","buffer"
"Epigaea repens","trailing arbutus",2026-04-16,"Hadlock Brook Trail, Mount Desert, ME, US",44.32688,-68.2856,"https://www.inaturalist.org/observations/350361702","Acadia Mountain Preserve","buffer"
"Tsuga canadensis","eastern hemlock",2026-04-15,"Long Pond Trail, Mount Desert, ME, US",44.3184920998,-68.3605011652,"https://www.inaturalist.org/observations/350475377","Echo Vista","buffer"
"Tsuga canadensis","eastern hemlock",2026-04-15,"Long Pond Trail, Mount Desert, ME, US",44.3184920998,-68.3605011652,"https://www.inaturalist.org/observations/350475377","Acadia Mountain Preserve","buffer"
"Corema conradii","broom crowberry",2026-04-14,"Phippsburg, ME, US",43.7745240408,-69.8411305833,"https://www.inaturalist.org/observations/349781317","Malaga Island","buffer"
"Symplocarpus foetidus","eastern skunk cabbage",2026-04-14,"Brunswick, ME, US",43.8912866667,-69.9193416667,"https://www.inaturalist.org/observations/349753726","Woodward Point Preserve","buffer"
"Spinulum annotinum","interrupted clubmoss",2026-04-14,"Sagadahoc County, US-ME, US",43.7696779999,-69.8427370777,"https://www.inaturalist.org/observations/349792765","Malaga Island","buffer"
