"scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","district","count","checklist"
"Melozone aberti","abert's towhee","Aves",2026-04-22,"Saguaro NP--East--Lower Chiminea Canyon",32.1534807,-110.6086395,NA,NA,NA,NA,"https://ebird.org/checklist/S325480036",NA,NA,"RMD",1,"S325480036"
"Melozone aberti","abert's towhee","Aves",2026-04-21,"TBC 525_20",32.225127,-110.7064443,NA,NA,NA,NA,"https://ebird.org/checklist/S325109653",NA,NA,"RMD",1,"S325109653"
"Melozone aberti","abert's towhee","Aves",2026-04-20,"Saguaro NP--East--Desert Ecology Trail",32.2035417,-110.724721,NA,NA,NA,NA,"https://ebird.org/checklist/S324740374",NA,NA,"RMD",2,"S324740374"
"Melozone aberti","abert's towhee","Aves",2026-04-20,"Saguaro NP--East--Cactus Forest Dr Loop",32.191219,-110.7076505,NA,NA,NA,NA,"https://ebird.org/checklist/S324772065",NA,NA,"RMD",1,"S324772065"
"Melozone aberti","abert's towhee","Aves",2026-04-19,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",32.180752,-110.719749,NA,NA,NA,NA,"https://ebird.org/checklist/S324458065",NA,NA,"RMD",2,"S324458065"
"Vireo bellii","bell's vireo","Aves",2026-04-22,"Saguaro NP--East--Lower Chiminea Canyon",32.1534807,-110.6086395,NA,NA,NA,NA,"https://ebird.org/checklist/S325480036",NA,NA,"RMD",4,"S325480036"
"Vireo bellii","bell's vireo","Aves",2026-04-21,"Saguaro NP--East--Loma Alta Trails",32.1420559,-110.6741066,NA,NA,NA,NA,"https://ebird.org/checklist/S325122588",NA,NA,"RMD",1,"S325122588"
"Vireo bellii","bell's vireo","Aves",2026-04-17,"Saguaro NP--East--Cactus Forest North Trailhead",32.1995255,-110.7217595,NA,NA,NA,NA,"https://ebird.org/checklist/S323085577",NA,NA,"RMD",1,"S323085577"
"Spizella breweri","brewer's sparrow","Aves",2026-04-21,"TBC 525_20",32.225127,-110.7064443,NA,NA,NA,NA,"https://ebird.org/checklist/S325093195",NA,NA,"RMD",2,"S325093195"
"Spizella breweri","brewer's sparrow","Aves",2026-04-21,"TBC 525_12",32.2096803,-110.713423,NA,NA,NA,NA,"https://ebird.org/checklist/S325059049",NA,NA,"RMD",2,"S325059049"
"Spizella breweri","brewer's sparrow","Aves",2026-04-20,"Saguaro NP--East--Desert Ecology Trail",32.2035417,-110.724721,NA,NA,NA,NA,"https://ebird.org/checklist/S324740374",NA,NA,"RMD",1,"S324740374"
"Spizella breweri","brewer's sparrow","Aves",2026-04-19,"Saguaro NP--East--Loma Verde Trailhead",32.2033393,-110.7099992,NA,NA,NA,NA,"https://ebird.org/checklist/S324307647",NA,NA,"RMD",1,"S324307647"
"Spizella breweri","brewer's sparrow","Aves",2026-04-18,"Saguaro NP--East--Extreme Living Overlook",32.189803,-110.731385,NA,NA,NA,NA,"https://ebird.org/checklist/S323856568",NA,NA,"RMD",3,"S323856568"
"Spizella breweri","brewer's sparrow","Aves",2026-04-18,"Saguaro NP--East--Cactus Forest Dr Loop",32.191219,-110.7076505,NA,NA,NA,NA,"https://ebird.org/checklist/S323775687",NA,NA,"RMD",2,"S323775687"
