"scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","district","count","checklist"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-18,"Visitor Center Trail, Tucson, AZ, US",32.2544878554,-111.1969609554,35,"svenjamin231",9665089,"false","https://www.inaturalist.org/observations/351043888","https://inaturalist-open-data.s3.amazonaws.com/photos/640563217/medium.jpg","CC-BY-NC","TMD",NA,NA
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-22,"Sendero Esperanza Trail, Tucson US-AZ 32.28458, -111.16714",32.28458,-111.167142,NA,NA,NA,NA,"https://ebird.org/checklist/S325633304",NA,NA,"TMD",17,"S325633304"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-21,"Saguaro NP--West--Signal Hill",32.2897907,-111.2090426,NA,NA,NA,NA,"https://ebird.org/checklist/S325418342",NA,NA,"TMD",2,"S325418342"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-21,"Saguaro NP--West--Valley View Overlook Trail",32.2770486,-111.197789,NA,NA,NA,NA,"https://ebird.org/checklist/S325232742",NA,NA,"TMD",2,"S325232742"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-20,"Saguaro NP--West--Desert Discovery Trail",32.2625304,-111.2106575,NA,NA,NA,NA,"https://ebird.org/checklist/S324884143",NA,NA,"TMD",2,"S324884143"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-20,"Saguaro NP--West--Red Hills Visitors Center",32.2542072,-111.1972591,NA,NA,NA,NA,"https://ebird.org/checklist/S324683049",NA,NA,"TMD",1,"S324683049"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-19,"Bajada Scenic Loop Hohokam Rd, Tucson US-AZ 32.26852, -111.21331",32.268519,-111.213306,NA,NA,NA,NA,"https://ebird.org/checklist/S324379885",NA,NA,"TMD",3,"S324379885"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-19,"Cactus and Manville Trails, etc, Saguaro National Park, Tucson US-AZ 32.31229, -111.21742",32.312287,-111.217419,NA,NA,NA,NA,"https://ebird.org/checklist/S324322242",NA,NA,"TMD",4,"S324322242"
"Campylorhynchus brunneicapillus","cactus wren","Aves",2026-04-18,"Saguaro NP--West--Cam-Boh Trail",32.3192677,-111.1659926,NA,NA,NA,NA,"https://ebird.org/checklist/S323548105",NA,NA,"TMD",8,"S323548105"
"Melozone fusca","canyon towhee","Aves",2026-04-16,"Tucson, AZ 85743, USA",32.2553456306,-111.1971511692,294,"hollyp75",2072693,"false","https://www.inaturalist.org/observations/350423594","https://static.inaturalist.org/photos/639375243/medium.jpg","","TMD",NA,NA
"Melozone fusca","canyon towhee","Aves",2026-04-16,"Tucson, AZ 85743, USA",32.2545245077,-111.197328195,96,"hollyp75",2072693,"false","https://www.inaturalist.org/observations/350423290","https://static.inaturalist.org/photos/639374515/medium.jpg","","TMD",NA,NA
